Time(s),CH1(V),CH2(V)
4.624605e-02,2.701508e+00,3.087437e+00
4.624885e-02,2.701508e+00,3.216081e+00
4.625165e-02,2.701508e+00,3.216081e+00
4.625445e-02,2.701508e+00,3.087437e+00
4.625725e-02,2.701508e+00,3.216081e+00
4.626005e-02,2.701508e+00,3.087437e+00
4.626285e-02,2.701508e+00,3.216081e+00
4.626565e-02,2.701508e+00,3.087437e+00
4.626845e-02,2.701508e+00,3.216081e+00
4.627125e-02,2.830151e+00,3.087437e+00
4.627405e-02,2.701508e+00,3.216081e+00
4.627685e-02,2.701508e+00,3.216081e+00
4.627965e-02,2.701508e+00,3.216081e+00
4.628245e-02,2.701508e+00,3.216081e+00
4.628525e-02,2.701508e+00,3.087437e+00
4.628805e-02,2.701508e+00,3.087437e+00
4.629085e-02,2.701508e+00,3.216081e+00
4.629365e-02,2.701508e+00,3.216081e+00
4.629645e-02,2.701508e+00,3.216081e+00
4.629925e-02,2.701508e+00,3.216081e+00
4.630205e-02,2.701508e+00,3.087437e+00
4.630485e-02,2.701508e+00,3.087437e+00
4.630765e-02,2.701508e+00,3.216081e+00
4.631045e-02,2.701508e+00,3.087437e+00
4.631325e-02,2.701508e+00,3.216081e+00
4.631605e-02,2.701508e+00,3.087437e+00
4.631885e-02,2.701508e+00,3.216081e+00
4.632165e-02,2.701508e+00,3.087437e+00
4.632445e-02,2.701508e+00,3.087437e+00
4.632725e-02,2.701508e+00,3.087437e+00
4.633005e-02,2.701508e+00,3.216081e+00
4.633285e-02,2.572865e+00,3.087437e+00
4.633565e-02,2.701508e+00,3.087437e+00
4.633845e-02,2.701508e+00,3.087437e+00
4.634125e-02,2.701508e+00,3.087437e+00
4.634405e-02,2.701508e+00,3.087437e+00
4.634685e-02,2.701508e+00,3.087437e+00
4.634965e-02,2.701508e+00,3.087437e+00
4.635245e-02,2.701508e+00,3.087437e+00
4.635525e-02,2.701508e+00,3.216081e+00
4.635805e-02,2.701508e+00,3.087437e+00
4.636085e-02,2.701508e+00,3.216081e+00
4.636365e-02,2.701508e+00,3.216081e+00
4.636645e-02,2.572865e+00,3.087437e+00
4.636925e-02,2.701508e+00,3.216081e+00
4.637205e-02,2.701508e+00,3.087437e+00
4.637485e-02,2.701508e+00,3.087437e+00
4.637765e-02,2.572865e+00,3.087437e+00
4.638045e-02,2.701508e+00,3.087437e+00
4.638325e-02,2.701508e+00,3.216081e+00
4.638605e-02,2.701508e+00,3.087437e+00
4.638885e-02,2.701508e+00,3.087437e+00
4.639165e-02,2.701508e+00,3.087437e+00
4.639445e-02,2.701508e+00,3.087437e+00
4.639725e-02,2.701508e+00,3.087437e+00
4.640005e-02,2.701508e+00,3.087437e+00
4.640285e-02,2.701508e+00,3.087437e+00
4.640565e-02,2.701508e+00,3.087437e+00
4.640845e-02,2.572865e+00,3.087437e+00
4.641125e-02,2.701508e+00,3.087437e+00
4.641405e-02,2.572865e+00,3.087437e+00
4.641685e-02,2.701508e+00,3.087437e+00
4.641965e-02,2.701508e+00,3.087437e+00
4.642245e-02,2.701508e+00,3.087437e+00
4.642525e-02,2.701508e+00,3.087437e+00
4.642805e-02,2.701508e+00,3.087437e+00
4.643085e-02,2.701508e+00,3.087437e+00
4.643365e-02,2.701508e+00,3.087437e+00
4.643645e-02,2.572865e+00,3.087437e+00
4.643925e-02,2.701508e+00,3.087437e+00
4.644205e-02,2.572865e+00,3.087437e+00
4.644485e-02,2.572865e+00,3.087437e+00
4.644765e-02,2.572865e+00,3.087437e+00
4.645045e-02,2.701508e+00,3.087437e+00
4.645325e-02,2.701508e+00,3.087437e+00
4.645605e-02,2.701508e+00,3.087437e+00
4.645885e-02,2.701508e+00,3.087437e+00
4.646165e-02,2.572865e+00,3.087437e+00
4.646445e-02,2.572865e+00,3.087437e+00
4.646725e-02,2.572865e+00,3.087437e+00
4.647005e-02,2.701508e+00,3.087437e+00
4.647285e-02,2.572865e+00,3.087437e+00
4.647565e-02,2.572865e+00,3.087437e+00
4.647845e-02,2.572865e+00,3.087437e+00
4.648125e-02,2.701508e+00,3.087437e+00
4.648405e-02,2.701508e+00,3.087437e+00
4.648685e-02,2.572865e+00,3.087437e+00
4.648965e-02,2.701508e+00,3.087437e+00
4.649245e-02,2.572865e+00,3.087437e+00
4.649525e-02,2.701508e+00,3.087437e+00
4.649805e-02,2.572865e+00,3.087437e+00
4.650085e-02,2.572865e+00,3.087437e+00
4.650365e-02,2.572865e+00,3.087437e+00
4.650645e-02,2.572865e+00,3.087437e+00
4.650925e-02,2.701508e+00,3.087437e+00
4.651205e-02,2.572865e+00,3.087437e+00
4.651485e-02,2.572865e+00,3.087437e+00
4.651765e-02,2.572865e+00,3.087437e+00
4.652045e-02,2.701508e+00,3.087437e+00
4.652325e-02,2.572865e+00,3.087437e+00
4.652605e-02,2.572865e+00,3.087437e+00
4.652885e-02,2.572865e+00,2.958794e+00
4.653165e-02,2.572865e+00,3.087437e+00
4.653445e-02,2.701508e+00,3.087437e+00
4.653725e-02,2.572865e+00,3.087437e+00
4.654005e-02,2.572865e+00,3.087437e+00
4.654285e-02,2.572865e+00,2.958794e+00
4.654565e-02,2.572865e+00,3.087437e+00
4.654845e-02,2.572865e+00,3.087437e+00
4.655125e-02,2.572865e+00,3.087437e+00
4.655405e-02,2.572865e+00,3.087437e+00
4.655685e-02,2.572865e+00,3.087437e+00
4.655965e-02,2.572865e+00,3.087437e+00
4.656245e-02,2.572865e+00,3.087437e+00
4.656525e-02,2.572865e+00,3.087437e+00
4.656805e-02,2.572865e+00,3.087437e+00
4.657085e-02,2.572865e+00,2.958794e+00
4.657365e-02,2.572865e+00,2.958794e+00
4.657645e-02,2.572865e+00,3.087437e+00
4.657925e-02,2.572865e+00,2.958794e+00
4.658205e-02,2.572865e+00,2.958794e+00
4.658485e-02,2.572865e+00,3.087437e+00
4.658765e-02,2.572865e+00,2.958794e+00
4.659045e-02,2.572865e+00,2.958794e+00
4.659325e-02,2.572865e+00,2.958794e+00
4.659605e-02,2.572865e+00,3.087437e+00
4.659885e-02,2.572865e+00,2.958794e+00
4.660165e-02,2.572865e+00,3.087437e+00
4.660445e-02,2.572865e+00,3.087437e+00
4.660725e-02,2.572865e+00,3.087437e+00
4.661005e-02,2.572865e+00,2.958794e+00
4.661285e-02,2.572865e+00,3.087437e+00
4.661565e-02,2.572865e+00,2.958794e+00
4.661845e-02,2.572865e+00,2.958794e+00
4.662125e-02,2.572865e+00,2.958794e+00
4.662405e-02,2.572865e+00,3.087437e+00
4.662685e-02,2.572865e+00,3.087437e+00
4.662965e-02,2.572865e+00,2.958794e+00
4.663245e-02,2.572865e+00,2.958794e+00
4.663525e-02,2.572865e+00,2.958794e+00
4.663805e-02,2.572865e+00,2.958794e+00
4.664085e-02,2.572865e+00,2.958794e+00
4.664365e-02,2.572865e+00,2.958794e+00
4.664645e-02,2.572865e+00,2.958794e+00
4.664925e-02,2.572865e+00,2.958794e+00
4.665205e-02,2.572865e+00,2.958794e+00
4.665485e-02,2.572865e+00,2.958794e+00
4.665765e-02,2.572865e+00,2.958794e+00
4.666045e-02,2.572865e+00,2.958794e+00
4.666325e-02,2.572865e+00,3.087437e+00
4.666605e-02,2.572865e+00,2.958794e+00
4.666885e-02,2.572865e+00,2.958794e+00
4.667165e-02,2.572865e+00,2.958794e+00
4.667445e-02,2.572865e+00,3.087437e+00
4.667725e-02,2.572865e+00,2.958794e+00
4.668005e-02,2.572865e+00,2.958794e+00
4.668285e-02,2.572865e+00,2.958794e+00
4.668565e-02,2.444221e+00,2.958794e+00
4.668845e-02,2.572865e+00,2.958794e+00
4.669125e-02,2.572865e+00,2.958794e+00
4.669405e-02,2.572865e+00,2.958794e+00
4.669685e-02,2.572865e+00,2.958794e+00
4.669965e-02,2.572865e+00,2.958794e+00
4.670245e-02,2.572865e+00,2.958794e+00
4.670525e-02,2.444221e+00,2.958794e+00
4.670805e-02,2.572865e+00,2.958794e+00
4.671085e-02,2.572865e+00,2.958794e+00
4.671365e-02,2.572865e+00,2.958794e+00
4.671645e-02,2.572865e+00,2.958794e+00
4.671925e-02,2.572865e+00,2.958794e+00
4.672205e-02,2.572865e+00,2.958794e+00
4.672485e-02,2.444221e+00,2.958794e+00
4.672765e-02,2.572865e+00,2.958794e+00
4.673045e-02,2.444221e+00,2.958794e+00
4.673325e-02,2.444221e+00,2.958794e+00
4.673605e-02,2.572865e+00,2.830151e+00
4.673885e-02,2.572865e+00,2.958794e+00
4.674165e-02,2.444221e+00,2.958794e+00
4.674445e-02,2.444221e+00,2.958794e+00
4.674725e-02,2.444221e+00,2.958794e+00
4.675005e-02,2.572865e+00,2.958794e+00
4.675285e-02,2.572865e+00,2.958794e+00
4.675565e-02,2.572865e+00,2.958794e+00
4.675845e-02,2.444221e+00,2.830151e+00
4.676125e-02,2.444221e+00,2.830151e+00
4.676405e-02,2.444221e+00,2.958794e+00
4.676685e-02,2.444221e+00,2.958794e+00
4.676965e-02,2.572865e+00,2.830151e+00
4.677245e-02,2.444221e+00,2.958794e+00
4.677525e-02,2.444221e+00,2.830151e+00
4.677805e-02,2.572865e+00,2.958794e+00
4.678085e-02,2.572865e+00,2.958794e+00
4.678365e-02,2.444221e+00,2.958794e+00
4.678645e-02,2.444221e+00,2.958794e+00
4.678925e-02,2.444221e+00,2.958794e+00
4.679205e-02,2.444221e+00,2.958794e+00
4.679485e-02,2.572865e+00,2.958794e+00
4.679765e-02,2.444221e+00,2.830151e+00
